"تاريخ","اخر سعر","سعر الفتح","عالي","منخفض","الحجم","التغير %"
"11‏/07‏/2023","11,532.99","11,544.73","11,554.29","11,509.24","","-0.12%"
"10‏/07‏/2023","11,546.59","11,575.81","11,620.52","11,546.59","","-0.25%"
"07‏/07‏/2023","11,575.81","11,621.72","11,624.46","11,526.53","","-0.40%"
"06‏/07‏/2023","11,621.72","11,616.59","11,652.35","11,596.51","","-0.48%"
"05‏/07‏/2023","11,677.95","11,599.83","11,681.39","11,596.97","","0.66%"
"04‏/07‏/2023","11,601.91","11,537.34","11,623.30","11,537.34","","0.50%"
"03‏/07‏/2023","11,544.61","11,494.06","11,580.27","11,488.74","","-0.30%"
"28‏/06‏/2023","11,579.76","11,542.87","11,646.37","11,529.24","","0.32%"
"27‏/06‏/2023","11,542.87","11,504.06","11,574.55","11,485.16","","0.34%"
"26‏/06‏/2023","11,504.06","11,537.23","11,614.63","11,483.60","","-0.29%"
"23‏/06‏/2023","11,537.23","11,474.39","11,677.18","11,474.39","","0.55%"
"22‏/06‏/2023","11,474.39","11,489.86","11,606.98","11,461.47","","-0.15%"
"21‏/06‏/2023","11,491.86","11,704.45","11,723.23","11,491.86","","-1.82%"
"20‏/06‏/2023","11,704.88","11,395.66","11,822.93","11,378.34","","2.63%"
"19‏/06‏/2023","11,404.49","11,446.81","11,476.65","11,376.68","","-0.42%"
"16‏/06‏/2023","11,452.87","11,385.36","11,462.51","11,384.02","","0.59%"
"15‏/06‏/2023","11,385.36","11,194.74","11,408.55","11,168.64","","1.69%"
"14‏/06‏/2023","11,195.69","11,056.72","11,195.83","11,056.72","","1.26%"
"13‏/06‏/2023","11,056.72","11,041.27","11,056.72","11,012.40","","0.14%"
"12‏/06‏/2023","11,041.27","11,056.65","11,059.86","10,990.53","","-0.17%"
"09‏/06‏/2023","11,060.42","11,002.85","11,060.42","11,000.17","","0.52%"
"08‏/06‏/2023","11,003.59","11,016.60","11,035.18","10,992.92","","-0.20%"
"07‏/06‏/2023","11,025.23","11,017.43","11,052.24","10,995.96","","0.07%"
"06‏/06‏/2023","11,017.43","11,045.69","11,102.83","11,014.77","","-0.31%"
"05‏/06‏/2023","11,051.91","11,150.78","11,159.62","11,043.42","","-0.89%"
"02‏/06‏/2023","11,150.78","11,016.24","11,150.78","10,982.74","","1.22%"
"01‏/06‏/2023","11,016.24","11,040.92","11,056.72","11,011.11","","-0.30%"
"31‏/05‏/2023","11,049.08","11,029.71","11,079.71","11,007.54","","0.18%"
"30‏/05‏/2023","11,029.71","11,005.83","11,071.58","10,991.39","","0.22%"
"29‏/05‏/2023","11,005.83","10,943.66","11,022.39","10,926.15","","0.57%"
"26‏/05‏/2023","10,943.66","10,813.03","10,943.87","10,780.86","","1.21%"
"25‏/05‏/2023","10,813.03","10,912.72","10,912.72","10,799.69","","-0.91%"
"24‏/05‏/2023","10,912.72","10,775.85","10,912.72","10,764.64","","1.27%"
"23‏/05‏/2023","10,775.85","10,760.76","10,801.87","10,739.37","","0.14%"
"22‏/05‏/2023","10,760.76","10,755.60","10,762.58","10,724.96","","-0.04%"
"19‏/05‏/2023","10,764.97","10,746.37","10,775.92","10,713.22","","0.17%"
"18‏/05‏/2023","10,746.37","10,777.63","10,797.83","10,715.84","","-0.29%"
"17‏/05‏/2023","10,777.63","10,804.60","10,804.60","10,751.18","","-0.25%"
"16‏/05‏/2023","10,804.60","10,743.83","10,805.90","10,700.41","","0.57%"
"15‏/05‏/2023","10,743.83","10,733.63","10,800.89","10,716.46","","0.10%"
"12‏/05‏/2023","10,733.63","10,578.97","10,734.86","10,573.78","","1.46%"
"11‏/05‏/2023","10,578.97","10,482.49","10,579.08","10,482.13","","0.92%"
"10‏/05‏/2023","10,482.49","10,409.17","10,506.62","10,409.17","","0.70%"
"09‏/05‏/2023","10,409.17","10,420.74","10,475.27","10,405.83","","-0.11%"
"08‏/05‏/2023","10,420.74","10,390.66","10,480.05","10,390.66","","0.29%"
"05‏/05‏/2023","10,390.66","10,408.41","10,454.65","10,378.37","","-0.17%"
"04‏/05‏/2023","10,408.41","10,410.67","10,411.37","10,347.00","","-0.02%"
"03‏/05‏/2023","10,410.67","10,431.19","10,436.53","10,377.63","","-0.20%"
"02‏/05‏/2023","10,431.19","10,525.17","10,563.17","10,431.19","","-0.89%"
"28‏/04‏/2023","10,525.22","10,469.77","10,525.22","10,469.58","","0.53%"
"27‏/04‏/2023","10,469.77","10,454.85","10,492.08","10,447.95","","0.14%"
"26‏/04‏/2023","10,454.85","10,499.26","10,509.56","10,418.76","","-0.42%"
"25‏/04‏/2023","10,499.26","10,494.69","10,516.93","10,483.28","","0.04%"
"21‏/04‏/2023","10,494.69","10,482.19","10,535.42","10,476.84","","0.12%"
"20‏/04‏/2023","10,482.19","10,466.76","10,524.02","10,461.94","","0.15%"
"19‏/04‏/2023","10,466.76","10,477.73","10,489.29","10,430.18","","-0.10%"
"18‏/04‏/2023","10,477.73","10,476.38","10,482.72","10,464.26","","0.00%"
"17‏/04‏/2023","10,477.34","10,470.49","10,533.98","10,461.45","","0.07%"
"14‏/04‏/2023","10,470.49","10,462.33","10,551.85","10,455.51","","0.08%"
"13‏/04‏/2023","10,462.33","10,493.74","10,525.11","10,447.00","","-0.30%"
"12‏/04‏/2023","10,493.74","10,492.80","10,508.80","10,444.24","","0.01%"
"11‏/04‏/2023","10,492.80","10,488.37","10,531.72","10,483.00","","0.04%"
"10‏/04‏/2023","10,488.37","10,461.41","10,506.47","10,447.02","","0.26%"
"07‏/04‏/2023","10,461.41","10,450.48","10,520.68","10,450.48","","0.10%"
"06‏/04‏/2023","10,450.48","10,483.37","10,510.18","10,450.48","","-0.31%"
"05‏/04‏/2023","10,483.37","10,472.04","10,499.51","10,448.04","","0.11%"
"04‏/04‏/2023","10,472.04","10,471.03","10,498.01","10,454.30","","0.01%"
"03‏/04‏/2023","10,471.03","10,391.39","10,471.59","10,383.94","","0.77%"
"31‏/03‏/2023","10,391.39","10,474.35","10,504.73","10,391.39","","-0.79%"
"30‏/03‏/2023","10,474.35","10,528.66","10,546.51","10,473.63","","-0.52%"
"29‏/03‏/2023","10,528.66","10,517.82","10,569.44","10,501.79","","0.10%"
"28‏/03‏/2023","10,517.82","10,492.32","10,517.91","10,429.99","","0.24%"
"27‏/03‏/2023","10,492.32","10,404.52","10,492.32","10,380.97","","0.84%"
"24‏/03‏/2023","10,404.52","10,474.61","10,487.46","10,404.52","","-0.67%"
"23‏/03‏/2023","10,474.61","10,454.29","10,507.16","10,447.13","","0.19%"
"22‏/03‏/2023","10,454.29","10,316.49","10,454.29","10,316.49","","1.34%"
"21‏/03‏/2023","10,316.49","10,446.57","10,446.57","10,315.38","","-1.25%"
"20‏/03‏/2023","10,446.57","10,415.50","10,492.51","10,415.50","","0.30%"
"17‏/03‏/2023","10,415.50","10,513.91","10,534.72","10,412.30","","-0.94%"
"16‏/03‏/2023","10,513.91","10,497.54","10,529.64","10,492.84","","0.16%"
"15‏/03‏/2023","10,497.54","10,559.68","10,579.14","10,483.38","","-0.59%"
"14‏/03‏/2023","10,559.68","10,566.67","10,581.12","10,523.47","","-0.07%"
"13‏/03‏/2023","10,566.67","10,557.71","10,594.03","10,511.46","","0.08%"
"10‏/03‏/2023","10,557.71","10,557.47","10,577.54","10,525.79","","0.00%"
"09‏/03‏/2023","10,557.47","10,592.56","10,622.15","10,543.94","","-0.33%"
"08‏/03‏/2023","10,592.56","10,603.47","10,632.78","10,581.31","","-0.10%"
"07‏/03‏/2023","10,603.47","10,643.91","10,651.72","10,595.55","","-0.38%"
"06‏/03‏/2023","10,643.91","10,712.89","10,738.16","10,643.91","","-0.64%"
"03‏/03‏/2023","10,712.89","10,767.75","10,785.77","10,652.80","","-0.51%"
"02‏/03‏/2023","10,767.75","10,842.62","10,873.22","10,767.75","","-0.69%"
"01‏/03‏/2023","10,842.62","10,907.51","10,958.40","10,842.08","","-0.59%"
"28‏/02‏/2023","10,907.51","10,834.84","10,925.75","10,834.84","","0.67%"
"27‏/02‏/2023","10,834.84","10,844.54","10,901.01","10,826.31","","-0.09%"
"24‏/02‏/2023","10,844.54","10,663.22","10,852.08","10,663.06","","1.70%"
"23‏/02‏/2023","10,663.22","10,625.35","10,679.93","10,596.68","","0.36%"
"22‏/02‏/2023","10,625.35","10,565.37","10,628.12","10,515.46","","0.57%"
"21‏/02‏/2023","10,565.37","10,691.34","10,704.01","10,551.04","","-1.18%"
"20‏/02‏/2023","10,691.34","10,684.60","10,725.94","10,667.18","","0.06%"
"17‏/02‏/2023","10,684.60","10,573.37","10,692.83","10,548.92","","1.05%"
"16‏/02‏/2023","10,573.37","10,555.07","10,600.48","10,544.25","","0.17%"
